Bigram,word count,file count
on there,10,10
there need,1,1
need to,149,146
to get,180,178
get knocked,2,2
knocked the,2,2
the fuck,158,154
fuck out,14,14
niggas sooooo,1,1
sooooo pussy,1,1
pussy i,39,39
i swear,88,87
swear i,19,19
dont talk,18,18
talk im,1,1
im all,9,9
all action,1,1
bitch why,11,11
why did,7,7
did you,23,23
you not,32,32
not fav,1,1
fav or,1,1
or retweet,1,1
retweet this,3,3
which one,12,12
one of,97,95
of you,82,82
you hoes,99,97
hoes then,10,10
then downloaded,1,1
downloaded that,1,1
that jailmail,1,1
jailmail app,1,1
them hoes,106,103
hoes dont,25,25
dont like,82,77
like me,47,47
shid i,1,1
i thought,32,32
thought it,7,7
it was,58,56
was legal,4,4
legal to,3,3
to beat,16,16
beat yo,6,6
yo hoe,35,34
rt and,34,33
and if,22,22
if you,342,336
you aint,117,115
aint a,37,37
hoe get,12,12
get up,18,18
up out,14,14
out my,35,35
my traphouseeee,3,3
might havti,1,1
havti give,1,1
give you,11,11
you a,236,223
a visit,1,1
visit this,1,1
this cunt,4,4
cunt isnt,1,1
isnt going,1,1
going to,105,101
to have,44,44
have a,133,132
a family,1,1
family when,1,1
when im,34,34
im done,21,20
does he,5,5
he look,2,2
look like,144,140
like a,396,385
niggas go,3,3
go crazy,9,9
crazy over,3,3
over bitches,9,9
bitches now,6,6
now a,10,10
a days,8,8
days like,2,2
like calm,1,1
calm yo,1,1
yo happy,1,1
happy ass,1,1
ass down,8,8
what a,70,69
a ratchet,7,7
ratchet ass,9,9
ass bitch,177,175
bitch bet,4,4
bet she,10,10
she felt,1,1
felt dumb,1,1
told you,13,13
you them,1,1
them bitches,80,80
bitches was,8,8
was mad,4,4
mad even,1,1
even g,1,1
i can,140,136
can tell,13,13
tell from,2,2
from this,4,4
this tweet,7,7
tweet that,2,2
that youre,13,13
youre a,148,141
a twat,8,7
them quicc,1,1
quicc to,1,1
to blast,1,1
blast bitches,1,1
bitches them,4,4
them all,5,5
all about,12,10
about the,52,50
the cash,2,2
cash bitches,1,1
sexy ass,4,4
bitch eating,3,3
eating a,1,1
a fry,1,1
the dude,4,4
dude took,2,2
took off,4,4
off running,2,2
running like,2,2
rt thats,18,18
thats her,3,3
her fault,1,1
fault for,1,1
for not,12,12
not asking,1,1
asking before,1,1
before she,4,4
she sent,3,3
sent her,1,1
her number,3,3
number tho,1,1
tho dumb,1,1
dumb bitch,76,76
rt i,553,553
i knew,12,12
knew a,4,4
bitch in,122,122
in college,6,6
college who,1,1
who sold,1,1
sold the,1,1
pussy for,35,35
for favors,1,1
dawg what,1,1
what the,35,35
fuck happened,2,2
happened to,9,9
to so,3,3
so and,1,1
and so,9,9
so where,1,1
where did,3,3
did they,3,3
they go,10,9
go too,1,1
too worried,2,2
worried bout,22,20
bout bitches,9,9
bitches and,59,59
and fashion,1,1
fashion they,2,2
go missing,2,2
missing in,3,3
in action,2,2
mann jada,1,1
jada pickett,2,2
pickett was,1,1
was a,94,91
a badddddd,1,1
badddddd bitch,1,1
bitch lawd,1,1
chill with,6,6
the thirst,2,2
thirst bitch,1,1
bitch my,28,27
my chicks,1,1
chicks right,1,1
right next,2,2
next to,28,28
to me,118,118
me for,25,25
for real,18,17
real hoe,3,3
is anything,1,1
anything going,1,1
going down,8,6
down tonight,2,2
tonight besides,1,1
besides my,3,3
my bitch,211,208
rt no,29,29
no youre,5,5
a nigger,32,32
nigger go,1,1
go pick,2,2
pick my,1,1
my cotton,1,1
bangthats a,1,1
a trust,1,1
trust wo,1,1
wo bitch,1,1
get my,27,27
my name,27,26
name tatted,2,2
tatted right,1,1
right by,4,4
by ya,1,1
ya pussy,14,14
rt ur,5,5
ur a,31,29
a lil,56,56
bitch if,43,43
dont have,55,55
have your,6,6
your read,2,2
read receipt,1,1
receipt on,1,1
on shady,1,1
ok faggot,1,1
smoke sum,2,2
sum bitch,6,6
lmaoooo beiber,1,1
beiber get,1,1
get these,7,7
hoes wet,1,1
wet big,1,1
big bro,3,3
bro im,5,5
im tryna,28,28
tryna tell,2,2
tell you,32,32
youre pussy,4,4
pussy ass,48,48
ass set,1,1
set dont,1,1
dont mean,26,21
mean shit,2,2
shit to,29,29
picture time,1,1
time outside,1,1
outside of,1,1
of metro,1,1
metro fucking,1,1
fucking fags,1,1
rt too,8,8
too many,44,40
many faithful,3,3
faithful girls,3,3
girls are,17,17
are single,4,4
single and,7,7
and too,5,5
many hoes,21,21
hoes are,35,35
are taken,3,3
dont take,4,4
take people,1,1
people niggas,1,1
niggas bitches,9,9
bitches dont,32,32
dont play,19,18
play about,2,2
about they,7,7
they niggas,4,4
niggas specially,1,1
specially they,1,1
they baby,3,3
baby daddies,3,3
daddies no,1,1
no bs,2,2
rt lets,4,4
lets butt,2,2
butt chug,3,3
chug mikes,2,2
mikes hard,2,2
hard lemonade,2,2
rt fuck,48,48
fuck da,6,5
da opps,1,1
opps x,1,1
x fuck,1,1
fuck dear,1,1
dear hoes,1,1
hoes x,1,1
i wan,52,50
wan na,303,291
na apologize,1,1
apologize for,2,2
for being,22,22
being such,11,11
such a,103,103
bitch the,27,27
the other,24,24
other day,7,7
day but,2,2
the way,36,35
way my,1,1
my emotions,3,3
emotions are,2,2
are set,1,1
set up,3,3
get your,25,25
your weak,1,1
weak ass,6,6
ass juco,1,1
juco highlights,1,1
highlights off,1,1
off twitter,6,6
twitter hoe,6,6
bitch no,30,30
no u,7,7
u not,15,15
not u,1,1
u look,9,9
a full,7,7
full breaded,2,2
breaded cracker,1,1
fuck bitches,27,26
bitches get,47,47
get money,18,18
bitches drippin,2,2
drippin sauce,1,1
u got,35,35
got niggas,9,9
niggas an,1,1
an i,6,6
i got,329,305
got bitches,40,38
you wan,23,21
na hot,1,1
hot body,2,2
body you,2,2
na bugatti,1,1
bugatti you,2,2
na maserati,1,1
maserati you,1,1
you better,30,30
better rob,1,1
rob a,1,1
a bank,1,1
bank bitch,1,1
das new,1,1
new bae,1,1
bae my,1,1
bitch bad,17,17
bad or,1,1
or naw,2,2
naw lmao,1,1
all my,74,68
my old,27,26
old hoes,16,16
hoes wana,1,1
wana have,1,1
have my,12,12
my baby,14,14
is for,31,27
for my,36,36
my ghetto,4,4
ghetto motherfuckers,1,1
motherfuckers missy,1,1
missy elliott,1,1
you see,37,37
see me,17,15
me texting,1,1
texting you,1,1
you bitch,98,96
thinking about,4,4
about trying,1,1
trying to,86,84
get pussy,16,16
is a,291,289
a true,6,6
true ride,2,2
ride or,5,5
or die,6,6
die bitch,5,5
bitch what,31,31
fuck hahahahah,1,1
you know,127,126
know for,3,3
for a,129,128
a fact,4,4
fact you,1,1
you got,190,188
got a,144,140
a woman,27,25
woman who,4,4
who loves,5,5
loves you,2,2
you other,4,4
other bitches,29,29
dont even,52,52
even matter,2,2
bitch wit,18,18
wit no,11,11
no ass,6,5
ass u,4,4
u aint,22,21
aint shit,76,69
that bitch,516,504
bitch is,125,125
is so,43,43
so stupid,6,6
stupid its,2,2
its the,20,20
the bey,1,1
bey hive,1,1
hive not,1,1
not the,20,19
the bee,1,1
bee hive,1,1
hive lil,1,1
lil kim,1,1
kim was,1,1
was the,32,32
the queen,1,1
queen b,2,1
b bey,1,1
bey is,1,1
is queen,1,1
rt the,82,81
the beat,9,8
beat tho,1,1
tho bitch,5,5
bitch im,128,126
im trying,19,19
trying bone,1,1
im a,162,160
hoe for,23,23
for that,41,40
i fuck,36,36
fuck bad,6,6
bad bitches,141,136
bitches to,16,16
to stacy,1,1
stacy lattisaw,1,1
lattisaw why,1,1
why you,50,49
you niggas,16,16
niggas balls,2,2
balls blue,1,1
blue like,1,1
like an,15,15
an avatar,1,1
rt that,52,52
that shit,117,117
shit can,3,3
can break,2,2
break you,2,2
you down,8,8
down if,3,3
you lose,7,7
lose a,2,2
a good,72,67
good girl,26,26
girl i,13,13
i guess,40,40
guess you,8,8
you need,36,36
need a,69,68
a bad,128,126
bad bitch,178,175
bitch to,96,94
to come,22,22
come around,2,2
around and,11,11
and make,19,19
make it,31,30
it up,32,32
this hoe,88,88
hoe mimi,1,1
mimi said,1,1
said i,44,44
i hurt,2,2
hurt my,4,4
my hand,6,6
hand bitch,1,1
bitch her,6,6
her throat,6,6
rt when,205,205
you think,51,51
think you,26,26
you sliden,1,1
sliden bitch,1,1
bitch you,253,252
you slippen,1,1
slippen amp,1,1
amp i,23,23
know the,19,18
the truth,21,21
truth i,2,2
i knoww,5,1
knoww i,4,1
knoww you,1,1
know that,34,34
that i,89,88
dat bitch,62,62
bitch wild,1,1
wild as,1,1
as shit,18,18
shit lls,1,1
tryna turn,3,3
turn ms,2,2
ms to,2,2
to bs,2,2
bs in,1,1
in this,97,96
this bitch,546,542
rt im,132,132
im just,63,63
just a,59,59
a average,1,1
average nigguh,1,1
nigguh who,1,1
who chasin,1,1
chasin his,1,1
his money,1,1
money amp,3,3
amp dreams,1,1
dreams while,1,1
while tryin,1,1
tryin stay,1,1
stay out,6,6
out of,96,95
of trouble,1,1
i fuckedd,1,1
fuckedd your,1,1
your bitch,121,120
bitch than,6,6
than gave,1,1
gave her,5,5
a snack,2,2
snack pack,1,1
rt never,12,12
never cared,1,1
cared about,1,1
about how,28,28
how another,1,1
another bitch,33,33
bitch saw,2,2
saw me,3,3
me i,53,53
know who,13,13
who i,9,9
i am,91,85
i be,94,88
be laughing,3,3
laughing when,1,1
when my,16,16
my ex,33,32
ex be,1,1
be tryna,13,12
tryna stunt,1,1
stunt bitch,1,1
you forgot,2,2
forgot i,1,1
i went,18,18
went with,2,2
with you,46,45
you i,28,27
what you,49,49
got amp,2,2
amp dont,7,7
dont got,19,19
rt these,99,99
bitches play,2,2
play on,3,3
on everybodys,1,1
everybodys team,1,1
rt wow,6,6
wow so,1,1
so the,16,16
the dolphin,1,1
dolphin asked,1,1
asked her,2,2
her to,22,22
to marry,3,3
marry him,1,1
him and,8,8
and she,44,44
she kisses,1,1
kisses the,1,1
other guy,1,1
guy right,1,1
right in,43,42
in front,27,26
front of,25,24
of her,26,26
her rude,1,1
rude ass,3,3
this uncle,1,1
uncle tom,8,8
tom mother,1,1
mother fucking,2,2
fucking wants,1,1
wants to,35,35
to invoke,1,1
invoke a,1,1
a man,52,50
man in,5,5
in his,21,21
his speech,2,2
speech dude,1,1
dude you,2,2
aint white,1,1
white no,1,1
no matter,16,16
matter how,7,7
how much,24,24
ohhhhh you,1,1
now u,1,1
got what,7,7
what u,29,29
u want,15,15
want bitch,3,3
bitch enjoy,1,1
enjoy it,3,3
it now,5,5
now this,4,4
a crazy,15,15
crazy pa,1,1
pa i,2,2
i would,65,63
would love,7,7
love to,26,26
to attend,1,1
you told,1,1
told ya,2,2
ya homie,2,2
homie she,1,1
she was,56,54
hoe but,19,19
but he,13,13
he still,12,12
still wifed,1,1
wifed it,1,1
it caption,1,1
caption this,3,3
killers dont,1,1
dont pillow,1,1
pillow talk,2,2
talk wit,1,1
wit dey,4,3
dey bitches,1,1
i think,88,87
think hes,3,3
hes retarded,2,2
retarded or,2,2
or somethin,3,3
rt not,19,19
not every,3,3
every nigga,12,12
nigga is,12,12
is pressed,1,1
pressed for,7,7
for pussy,23,23
pussy specially,1,1
specially yours,1,1
rt its,49,49
its cold,1,1
cold as,4,4
as penguin,1,1
penguin pussy,1,1
so i,118,118
guess im,3,3
im on,37,36
on snapchat,3,3
snapchat now,1,1
now so,3,3
so snapchat,1,1
snapchat me,2,2
me bitches,13,13
bitches danvii,1,1
danvii no,1,1
no idea,6,6
oil who,1,1
who said,9,9
said sumthin,1,1
sumthin bout,1,1
bout oil,1,1
oil bitch,1,1
you cookin,1,1
want a,61,59
a big,46,45
big tittyd,1,1
tittyd hoedyke,1,1
hoedyke to,1,1
to wash,3,3
wash ya,1,1
ya rims,1,1
rims lls,1,1
lls rt,1,1
i expect,3,3
expect a,4,4
a chick,14,14
chick at,1,1
at da,8,8
da bikini,1,1
bikini car,1,1
car wash,1,1
wash to,1,1
to rid,1,1
rid my,1,1
my rims,1,1
rims of,1,1
of all,25,24
all brake,1,1
brake dust,1,1
think youre,9,9
pussy is,66,66
is wet,1,1
wet my,2,2
my kitten,1,1
kitten drowned,1,1
drowned two,1,1
two days,3,3
days ago,2,2
all bitches,12,12
bitches do,19,19
do is,29,29
is graduate,1,1
graduate get,1,1
get pregnant,6,6
pregnant n,1,1
n become,1,1
become cnas,1,1
bitch anyway,1,1
photo deafreaperventus,1,1
deafreaperventus waywardsonsandfallenangels,1,1
waywardsonsandfallenangels murderouscrows,1,1
murderouscrows gay,1,1
gay intensifies,1,1
intensifies are,1,1
are you,64,64
you saying,2,2
rt bitch,90,90
bitch had,17,17
had me,17,17
me and,75,75
and my,55,54
my car,24,24
car all,1,1
all the,193,192
way fucked,2,2
fucked up,42,40
up had,1,1
had to,48,48
to cuss,1,1
cuss a,1,1
bitch out,25,25
out via,1,1
via note,1,1
iont got,7,7
got no,53,51
no type,13,13
type bad,13,13
bitches is,57,57
is the,123,123
the only,89,89
only thing,35,35
thing that,25,25
i like,89,84
no you,6,6
you homo,1,1
homo sorry,1,1
sorry i,10,10
i cant,147,141
cant be,37,37
be straight,8,8
straight like,2,2
like you,73,73
you and,54,54
and pull,4,4
pull mad,1,1
mad bitches,7,7
i sang,1,1
sang for,1,1
for you,62,62
you you,26,26
you nazi,1,1
nazi beaner,1,1
i turn,8,8
turn bitches,1,1
bitches gay,1,1
gay they,1,1
they think,10,10
think all,6,6
bitches can,14,14
can fuck,14,14
fuck like,5,5
girls be,13,13
be like,135,128
like i,74,71
i love,170,169
love you,61,58
you babe,3,3
babe lt,2,2
lt bitch,1,1
bitch isnt,5,5
isnt that,6,6
that today,3,3
hoes like,26,26
like niggas,5,5
niggas that,17,17
that spend,2,2
spend money,5,5
money not,5,5
not talk,4,4
talk about,43,41
about it,47,47
i do,41,41
do got,3,3
got ta,273,270
ta report,1,1
report you,1,1
you as,5,5
as spam,1,1
spam rt,2,2
rt ladies,7,7
ladies rt,3,3
rt if,255,255
if your,40,40
your head,8,8
head game,4,4
game better,3,3
better than,40,40
than your,10,10
your pussy,60,60
arod like,1,1
like ugly,2,2
ugly bitches,25,25
bitches that,71,71
that like,11,10
like to,34,33
to fuck,65,64
just like,53,52
like fat,1,1
fat chicks,1,1
chicks need,1,1
need love,3,3
love too,3,3
too i,7,7
guess some,1,1
some jeffrey,1,1
jeffrey dommer,1,1
dommer type,1,1
type would,1,1
would be,34,33
be all,19,19
all over,17,17
over that,6,6
that sloppy,2,2
sloppy ho,1,1
push a,1,1
out a,13,13
a car,11,11
car like,1,1
like im,43,43
im gucci,2,2
gucci mane,6,6
mane bitch,1,1
lmao rt,29,28
rt nigga,14,14
nigga ran,2,2
ran a,3,3
a ponzi,1,1
ponzi scheme,1,1
scheme on,1,1
on them,17,17
i jus,13,13
jus wan,5,5
na live,1,1
live good,1,1
good stay,1,1
stay fresh,2,2
fresh and,1,1
and fuck,20,20
messy ass,1,1
ass hoes,40,39
hoes aint,119,119
aint your,1,1
your fucking,10,10
fucking friend,1,1
rt u,33,33
u can,30,30
can eat,9,8
eat all,1,1
the pineapples,1,1
pineapples you,1,1
you want,39,38
want ur,2,2
ur pussy,8,8
pussy still,7,7
still trash,3,3
i just,164,164
just fucked,5,5
fucked an,1,1
an albino,2,2
albino it,1,1
was weird,1,1
weird because,1,1
because it,6,6
was like,34,32
a white,18,18
white body,1,1
body impersonating,1,1
impersonating a,1,1
a black,12,12
black voice,1,1
voice like,2,2
like iggy,1,1
iggy azalea,3,3
me to,72,72
to caffenate,1,1
caffenate me,1,1
me bitch,61,61
bitch because,9,9
because i,27,27
know how,38,38
how to,51,50
to use,10,10
use daves,1,1
daves coffee,1,1
coffee maker,1,1
maker struggles,1,1
struggles cleadventures,1,1
my expectations,1,1
expectations are,1,1
are high,1,1
high when,2,2
when it,33,33
it comes,18,18
comes to,14,14
to anything,3,3
anything my,2,2
my weed,6,6
weed my,2,2
my pussy,63,63
pussy my,6,6
my foodmy,1,1
foodmy clothes,1,1
clothes n,3,3
n kicks,1,1
kicks people,1,1
people that,4,4
shit needa,1,1
needa be,1,1
be a,268,257
a to,2,2
if youre,50,50
youre attractive,1,1
attractive amp,1,1
amp you,18,18
think any,2,2
any straight,1,1
straight guy,1,1
guy just,1,1
just wants,2,2
to be,298,289
be your,9,9
your friend,6,6
friend bitch,1,1
you stupid,13,13
pregnant at,1,1
at the,125,122
the same,126,117
same time,16,15
time and,10,10
and bitches,28,28
bitches think,16,15
think thats,4,4
thats cute,4,4
they say,12,12
say life,1,1
life is,26,23
is what,12,12
you make,19,19
it bitch,25,25
bitch but,73,73
but im,53,53
just tryna,6,6
tryna make,7,7
it straight,2,2
straight up,23,23
rt texting,2,2
texting bitches,3,3
bitches at,29,29
at making,1,1
making their,2,2
their wish,1,1
wish come,2,2
come true,3,3
apple sauce,1,1
sauce bitch,1,1
bitch nooooo,1,1
nooooo kim,1,1
kim been,1,1
been mine,1,1
mine you,3,3
you dreaming,1,1
think most,2,2
most men,1,1
men cheat,1,1
cheat because,1,1
because theyre,10,10
theyre addicted,1,1
addicted to,11,11
to that,30,29
that new,5,5
new pussy,9,9
pussy smell,11,11
your tweets,3,3
tweets have,1,1
have never,3,3
never offended,1,1
offended anyone,1,1
anyone then,1,1
then you,24,24
you tweet,8,8
tweet like,3,3
a little,101,100
little bitch,121,118
no one,32,32
one cares,6,6
cares nigger,1,1
rt fellas,7,7
fellas guess,1,1
guess what,5,5
what we,13,13
we dont,49,48
be asked,1,1
asked why,2,2
why were,2,2
were looking,2,2
looking mean,1,1
mean its,1,1
its called,4,4
called resting,1,1
resting bitch,3,3
bitch face,18,18
face we,2,2
we just,12,12
just look,5,5
look this,2,2
this w,1,1
are loyal,3,3
loyal plot,1,1
plot twist,7,7
i hate,228,226
hate when,84,84
when netflix,2,2
netflix stop,2,2
stop amp,2,2
amp asks,2,2
asks if,2,2
if im,20,20
im still,21,21
still watchin,2,2
watchin like,2,2
like yes,6,6
yes u,4,4
u think,15,15
think i,35,35
got up,3,3
up amp,11,11
amp sta,3,3
sta doin,2,2
doin somethin,2,2
somethin with,2,2
with my,85,84
my life,43,42
life bitch,7,7
is it,24,24
it me,2,2
me or,12,12
or does,2,2
does kim,1,1
kim kardashian,4,4
kardashian aint,1,1
aint looking,1,1
looking as,1,1
as good,7,7
good no,1,1
no morestill,1,1
morestill look,1,1
look better,10,10
better then,13,12
then these,2,2
these so,3,3
so called,5,5
called bad,3,3
got ass,4,4
ass cheeks,1,1
cheeks on,1,1
on my,208,207
my white,3,3
white tee,1,1
tee all,1,1
all these,99,99
hoes keep,5,5
keep grindin,1,1
grindin on,1,1
on me,60,57
rt this,124,124
bitch slow,2,2
slow lmaoooooo,1,1
my homeboy,3,3
homeboy got,1,1
hoe number,1,1
number on,3,3
on house,4,4
house arrest,3,3
arrest i,1,1
i said,48,47
said thats,3,3
thats good,1,1
good she,7,7
she wont,7,7
wont ask,1,1
ask to,2,2
to go,58,58
go anywhere,2,2
rt meet,1,1
meet me,10,10
my bitches,68,65
bitches mansionelan,1,1
there you,1,1
you go,17,17
go acting,1,1
acting like,39,39
is such,30,30
a retard,19,19
retard biden,1,1
biden calls,1,1
calls himself,1,1
himself white,1,1
white boy,5,5
boy in,1,1
in meeting,1,1
meeting with,1,1
with black,2,2
black pastors,1,1
bitch fuck,22,22
fuck that,43,43
that blog,2,2
blog where,1,1
where u,8,8
u be,8,8
be at,18,18
at meet,1,1
meet up,8,8
up and,59,59
and get,43,43
your round,1,1
these parents,1,1
parents nd,1,1
nd giving,1,1
giving they,1,1
they kids,5,5
kids ghetto,1,1
ghetto ass,20,20
ass names,2,2
names ronkieshietta,1,1
ronkieshietta bro,1,1
bro are,1,1
you serious,7,7
serious that,2,2
that tipped,1,1
tipped the,1,1
the scale,2,2
scale fa,1,1
fa me,4,4
who shot,2,2
shot john,1,1
john lookin,1,1
lookin ass,11,10
ass hoe,28,28
ok stupid,1,1
stupid bitch,32,32
rule number,3,3
number never,1,1
never fuck,2,2
fuck wit,27,27
wit ah,2,2
ah bitter,1,1
bitter babymama,1,1
babymama dey,1,1
dey gon,2,2
gon spray,1,1
spray u,1,1
u str,1,1
str up,3,3
up erica,1,1
erica u,1,1
u losing,1,1
losing cool,1,1
cool points,2,2
points hoe,1,1
go eat,4,4
eat bear,1,1
bear shit,1,1
shit you,25,25
you fuckin,9,9
fuckin yokel,1,1
they call,4,4
call me,48,46
me chief,1,1
chief weak,1,1
weak bitch,6,6
just be,28,28
me make,8,8
make bitches,8,8
bitches move,1,1
who the,20,20
the hell,20,19
hell is,5,4
is gon,18,18
gon na,246,235
na buy,4,4
buy your,4,4
your shit,9,9
shit when,5,5
when your,21,21
your di,2,2
di panties,1,1
panties and,1,1
and trash,1,1
trash are,1,1
are clearly,2,2
clearly in,1,1
in the,481,464
the background,6,6
background of,1,1
of the,144,141
the picture,1,1
i heard,20,20
heard bitches,1,1
bitches commit,1,1
commit sins,1,1
sins for,1,1
for chipotle,1,1
got every,2,2
every reason,2,2
reason to,9,9
to feel,5,5
feel like,63,63
im that,10,10
my hair,22,22
hair is,7,6
is one,14,14
of a,136,135
a kind,1,1
kind so,1,1
so dont,13,13
dont ever,14,14
ever fix,1,1
fix your,1,1
your mouth,9,9
mouth to,2,2
to say,48,48
say our,1,1
our hair,1,1
is alike,1,1
alike cause,1,1
cause guess,1,1
what hoe,3,3
hoe it,4,4
it aint,62,61
rt melo,2,2
melo will,1,1
will be,52,50
if he,26,26
he leaves,1,1
leaves and,1,1
and well,6,6
well lebron,1,1
lebron is,3,3
is jus,1,1
jus a,6,6
bitch regardless,3,3
regardless lol,1,1
if a,83,83
woman cares,1,1
cares about,6,6
about you,34,34
you shell,1,1
shell get,2,2
get mad,21,21
mad over,2,2
over little,1,1
little things,1,1
things if,1,1
you cant,81,81
cant handle,15,13
handle that,1,1
that you,40,39
you deserve,4,4
deserve a,6,6
rt being,6,6
hoe means,1,1
means fuckin,1,1
fuckin a,4,4
a lot,77,74
lot of,61,59
of people,7,6
people not,4,4
not talking,6,6
talking to,45,43
to a,66,65
people yall,1,1
yall mufuckas,1,1
mufuckas be,1,1
be having,20,20
having shit,2,2
shit mixed,1,1
mixed up,1,1
im driving,2,2
driving myself,1,1
myself insane,1,1
insane fag,1,1
rt maury,2,2
maury years,2,2
years old,8,8
old still,1,1
still exposing,2,2
exposing hoes,2,2
audio happy,1,1
happy valentines,3,3
valentines day,7,7
day bitches,5,5
now play,1,1
play this,1,1
this while,1,1
while you,10,10
you get,54,53
get laid,3,3
bitch get,49,47
get yo,16,15
yo duck,2,2
duck ass,4,4
ass off,8,8
off my,25,25
my shit,18,18
he ate,3,3
ate my,4,4
i could,59,59
bitch cant,20,20
cant touch,1,1
touch me,2,2
naw u,3,3
u keep,1,1
keep it,26,23
it fake,1,1
fake get,1,1
yo lame,1,1
lame ass,5,4
ass on,8,8
on somwhere,2,1
somwhere wigga,1,1
wigga hell,1,1
hell no,10,10
no get,1,1
get on,30,30
na have,18,18
have them,3,3
them pussies,2,2
pussies mix,1,1
mix up,1,1
up some,3,3
some concrete,1,1
concrete today,1,1
today teach,1,1
teach them,1,1
them to,9,9
to pose,2,2
pose like,1,1
am a,6,6
a badass,4,4
badass motherfucker,1,1
motherfucker and,1,1
and i,129,127
i will,55,54
will let,7,7
let you,18,17
you be,11,11
be too,5,5
my nigga,71,66
nigga dmd,1,1
dmd a,1,1
bitch and,149,149
and said,7,7
said ur,1,1
ur eyes,1,1
eyes are,1,1
are so,24,24
so beautiful,2,2
beautiful they,1,1
they melt,1,1
melt me,1,1
me lmaoooo,2,2
lmaoooo nigga,1,1
nigga thought,1,1
thought he,4,4
he was,39,38
was reading,1,1
reading a,1,1
a romantic,2,2
romantic comedy,2,2
comedy movie,1,1
movie script,1,1
lmaoooo nah,1,1
nah im,4,4
im down,5,5
down here,5,4
here turning,1,1
turning up,6,6
up rt,7,7
rt yah,2,2
yah not,1,1
not gon,17,17
na believe,3,3
believe this,3,3
this but,6,6
but being,2,2
in bg,1,1
bg being,1,1
eat that,12,12
like cold,1,1
cold pizza,1,1
iggy azaelia,1,1
azaelia is,1,1
is no,9,9
one hit,1,1
hit wonder,1,1
wonder she,1,1
she is,25,25
negro you,1,1
you wear,6,6
wear a,8,8
a size,1,1
size im,1,1
im in,41,41
in a,152,148
a im,3,3
im at,6,6
at a,36,36
a now,1,1
now still,1,1
still growing,1,1
rt now,12,12
now i,29,29
know why,12,12
why niggas,3,3
niggas have,1,1
have sides,1,1
sides my,1,1
bitch boring,2,2
rt fix,1,1
fix the,1,1
the fucking,18,18
fucking snipers,1,1
snipers you,1,1
you retarded,9,9
retarded piece,1,1
piece of,21,21
of shit,20,20
shit fucking,1,1
fucking overpowered,1,1
overpowered as,1,1
as fuck,62,61
fuck they,5,4
they aim,1,1
aim down,1,1
down faster,1,1
faster then,1,1
cant believe,7,7
believe im,2,2
im jealous,1,1
jealous all,1,1
all i,64,63
can think,3,3
think is,3,3
what goddamn,1,1
goddamn bitch,1,1
bitch was,44,44
was in,28,27
in your,51,51
your room,3,3
room to,2,2
to take,32,32
take a,38,37
a pic,18,18
pic of,11,10
you in,31,31
in bed,8,8
bed with,2,2
with your,44,43
your shirt,4,4
shirt off,3,3
love asking,1,1
asking really,1,1
really hot,1,1
hot skinny,1,1
